Idontphotoshop,"@rlewington2 When I was at uni, I lived in a barely converted chicken coop which offered shelter to many animals as there was a very large gap under the front door (I once found  a two skunks at the bottom of my bed).  And a choir of crickets used to serenade us from inside our fusebox.",,[3]
Lovemyproxy,"RT @MarkCCrowley: A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, a…","A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their #pets which were not allowed inside.
#Management #CEO",[3]
MarkCCrowley,"A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their #pets which were not allowed inside.
#Management #CEO",,[3]
Disch_InTheVOX,@thesportscrib21 @Plouffe24Fan I would've offered you shelter here in scoreboard control if you were.,,[3]
miriel_tar,RT @peta_nankivell: 1/4 @kristianne1417 is still unable to go back to her women's shelter due to the male bodied transperson living in her…,"1/4 @kristianne1417 is still unable to go back to her women's shelter due to the male bodied transperson living in her bedroom/bathroom.  After long discussions the shelter (Palmerston House, a division of @jeantweedcentre) has offered Kristi two options.",[3]
sikandermajid,"RT @MarkCCrowley: A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, a…","A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their pets which were not allowed inside.
#LeadFromTheHeart #HR",[3]
menhealuk,RT @oneworldonepeo1: @menhealuk @DebiJules @AaronStone77 @RhiaCrewe @nrmentalhealth @1in6org @MaleSurvivorORG @RAINN @USArmySHARP @SCFounde…,@menhealuk @DebiJules @AaronStone77 @RhiaCrewe @nrmentalhealth @1in6org @MaleSurvivorORG @RAINN @USArmySHARP @SCFounderDavid @gottogetoutof @DrJohnAKing @DrAdrienneMeier @ch_ifm @ChrisToedt1 @CounsellingKH @MentalHealthFN @OwenJones84 @UKLabour @WomenEqualities Saw that happening here in shelters. California.  Men had to be addicted to be offered shelter for 10 weeks.  Nothing about abuse or DV.,[3]
oneworldonepeo1,@menhealuk @DebiJules @AaronStone77 @RhiaCrewe @nrmentalhealth @1in6org @MaleSurvivorORG @RAINN @USArmySHARP @SCFounderDavid @gottogetoutof @DrJohnAKing @DrAdrienneMeier @ch_ifm @ChrisToedt1 @CounsellingKH @MentalHealthFN @OwenJones84 @UKLabour @WomenEqualities Saw that happening here in shelters. California.  Men had to be addicted to be offered shelter for 10 weeks.  Nothing about abuse or DV.,,[3]
Keisha11620,@TheRoot Girl A 60 yr old woman is taking shelter from rain. You should have offered her an umbrella. Go sit down,,[3]
_Am_bi_tious,RT @indiantweeter: Thanks to TISS which conducted a free and fair social audit of shelter homes initiated by @NitishKumar on Suo moto basis…,Thanks to TISS which conducted a free and fair social audit of shelter homes initiated by @NitishKumar on Suo moto basis. TISS team dint even take tea and biscuits offered by shelter home administration to instill confidence in girls to come out and speak.,[3]
MarkCCrowley,"A Human Need For Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their pets which were not allowed inside.
#LeadFromTheHeart #HR",,[3]
italiagurl007,"RT @MarkCCrowley: A #Human Need For #Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor,…","A #Human Need For #Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their pets which were not allowed inside.
#Leadership #Maslow",[3]
MarkCCrowley,"A #Human Need For #Love:
People who lost their homes in the massive Carr fire in Northern California were offered indoor, air-conditioned shelter. But many chose to sleep outdoors in sweltering heat in order to be with their pets which were not allowed inside.
#Leadership #Maslow",,[3]
neosushi68,"Ok, after i got offered shelter by @nosemangr for #projectsiggraph2018, i would still need a ticket and a flight. Please RT and share with everyone. #ThisIsNoJoke Let's see if this is even possible.",,[3]
Sanjeev60938893,"RT @BhagatmatiRekha: #गुरुपूर्णिमा offered to Guru.
But the master should also be fulfilled
The true Satguru is the same, which should tell…","#गुरुपूर्णिमा offered to Guru.
But the master should also be fulfilled
The true Satguru is the same, which should tell the difference of two letters 
These two letters have only the distinction of Saint Rampalji
Then come and receive salvation by taking shelter of Saint Rampalji",[3]
margien59630748,"Employee at migrant children's shelter accused of sexually abusing girl: https://t.co/GWa7MKv4g5 # via @AOL

No surprise. What kind of victim assistance/advocacy 
will be offered to the victim/her family? In Trump’s world:  probably none. It’s blame the parent’s time.",,[3]
NewYearsBelle,I offered before and no one cared to ask but since I am going to deactivate if any mutuals want my number dm me tonight. I am leaving this shelter because it isn’t working for me with this group they make me feel like shit tbh,,[3]
gautamsingh2509,"RT @SaurabhRai_INC: Instead of Providing shelter &amp; garlanding the assaulters like @jayantsinha @dr_maheshsharma,
@arivalayam Scion Sh.@mkst…","Instead of Providing shelter &amp; garlanding the assaulters like @jayantsinha @dr_maheshsharma,
@arivalayam Scion Sh.@mkstalin visited the Biryani Shop &amp; offered them help.
Also he suspended the assaulters too! #Respect

@KirenRijiju offended wid Tamilians 🤔
https://t.co/nIElhLRx3M",[3]
verharen_wim,"RT @Evdvegt1973: @PrisonPlanet Meanwhile in Amsterdam... El Tawheed Mosque offered shelter for IS-fighters. A Cup of tea, anyone? https://t…","@PrisonPlanet Meanwhile in Amsterdam... El Tawheed Mosque offered shelter for IS-fighters. A Cup of tea, anyone? https://t.co/GwzVKxWZb7",[3]
Evdvegt1973,"@PrisonPlanet Meanwhile in Amsterdam... El Tawheed Mosque offered shelter for IS-fighters. A Cup of tea, anyone? https://t.co/GwzVKxWZb7",,[3]
pdxmission,"Over the years the #PortlandRescu Mission, through the #Burnside Shelter, has offered #hope one #meal at a time, serving 333,731 meals last year alone. Because of this relentless #compassion in #Portland, our Burnside kitchen needs its own rescuing.",,[3]
TheArtofChad,"@JohnLeguizamo @RickWarren @JerryFalwellJr @Franklin_Graham @LibertyU @EAUKnews @PatheosEvang @JoelOsteen I think it's more accurate to say that pedophiles, molesters and sex pervs will take shelter wherever shelter is offered. Certain industries and tax brackets protect ""their own"", regardless of their crimes. It's Tribalism at its worst.",,[3]
asher_elbein,"Another story: Nunnehi warned the people of trouble prior to Indian Removal and offered them shelter in the Land Beneath Mountains--but only if they fasted seven days in silence. Those who did so successfully disappeared, and live with the Nunnehi still. #folklorethursday",,[3]
kiwiasmiles,"If I was the victim of a disaster and someone offered me thoughts and prayers I'd be offering them a punch and a knee between the legs.  At least jail will end the immediate problem of food, shelter and clothing! #ThursdayThoughts",,[3]
Cybermatron,"Meet my first piece of hand-upcycled furniture. From an old carpenters box. Fair warning: everyone, who enters my flat in the foreseeable future will have to admire my handiwork before being offered food, drink or shelter. #priceofadmission #proudmaker https://t.co/VUKlvX4dyC",,[3]
SaurabhRai_INC,"Instead of Providing shelter &amp; garlanding the assaulters like @jayantsinha @dr_maheshsharma,
@arivalayam Scion Sh.@mkstalin visited the Biryani Shop &amp; offered them help.
Also he suspended the assaulters too! #Respect

@KirenRijiju offended wid Tamilians 🤔
https://t.co/nIElhLRx3M",,[3]
DomesticSchizo,"@ajmpolite Bad for you... In my old shelter people are being offered jobs with rooms as none is coming... Brexit is savig the lives of people remain wanted to die in their tory majority and vicious inequality whilst they swan off on holiday

You are not a neoliberal gentry
WE DONT CONSENT",,[3]
RBE_Tom,"@Cyrathilia_ED @discomfiting @AllieLia Also FYI we have currently 90000000 ppl that are part time volunteers. Imagine how many more we would have if ppl were offered free healthcare, education, food, shelter, transportation, other products and services...",,[3]
