Request-GoodsServices,"['PsychiatricNeed', 'Equipment', 'ShelterNeeded', 'Vehicles']"
Request-SearchAndRescue,"['SelfRescue', 'OtherRescue']"
Request-InformationWanted,"['PersonsNews', 'MissingPersons', 'EventStatus']"
CallToAction-Volunteer,['RegisterNow']
CallToAction-FundRaising,"['DonateMoney', 'DonateGoods', 'PromoteFundRaising']"
CallToAction-MovePeople,"['EvacuateNow', 'GatherAt']"
Report-FirstPartyObservation,"['Group/IndividualMovement', 'PeopleEvacuating', 'DamageObserved', 'CollapsedStructure', 'ExplosionDamage', 'RoadBlocked', 'CompromisedBridge', 'CommunicationLinesDown']"
Report-ThirdPartyObservation,"['Group/IndividualMovement', 'PeopleEvacuating', 'DamageObserved', 'CollapsedStructure', 'ExplosionDamage', 'RoadBlocked', 'CompromisedBridge', 'CommunicationLinesDown']"
Report-Weather,"['Current', 'Forecast']"
Report-EmergingThreats,"['BuildingsAtRisk', 'PowerOutage', 'UnexplodedBomb', 'PeopleNotEvacuating', 'FoodShortage', 'InfectiousHumanDisease', 'FuelShortage', 'ContaminatedWaterSupply', 'ContaminatedWater', 'TheftOfAid', 'Looting', 'PriceGouging', 'IDPConcentration', 'WaterShortage', 'SecurityConcern']"
Report-SignificantEventChange,"['PeopleTrapped', 'UnexplodedBombFound', 'UnexplodedBomb', 'IndiscriminateShooting', 'GroupViolence', 'HostageTaken', 'MedicalEmergency']"
Report-MultimediaShare,"['Video', 'Images', 'Map']"
Report-ServiceAvailable,"['HospitalOperating', 'ShelterOffered', 'WaterDistributionPoint', 'FoodDistributionPoint']"
Report-Factoid,"['LandDevastated', 'InjuriesCount', 'KilledCount', 'NumberDisplacedPeople', 'NumberOfAssailants', 'ShooterCount', 'DamageCost']"
Report-Official,"['OfficialStatement', 'RegionalWarning', 'PublicAlert', 'PressRelease']"
Other-GenericNews,"['NewsHeadline', 'SelfPromotion']"
Other-Sentiment,"['Sadness', 'Hope', 'Support', 'Wellwishing']"
Other-Discussion,"['Causes', 'Blame', 'Rumors']"
Other-Irrelevant,['Irrelevant']
