trainlikeagod1,"🏠Open House Alert 🏠

🗓️ Date: 8/18/2018  🕐1:00 pm - 4:00pm
🗓️ Date: 8/19/2018  🕐1:00 pm - 4:00pm

Look no further! A must see home located in Greenbrook Village at Lakewood Ranch. Built to... https://t.co/65u6X0VfEK",,Sat Aug 18 12:30:57 +0000 2018
whatsupdagupan,"Issued at 4:00 PM Saturday, 18 August 2018

SYNOPSIS: Southwest Monsoon affecting the western sections of Luzon and Visayas. Meanwhile, at 3:00 PM today, the eye of Typhoon SOULIK was located based on all... https://t.co/yCRcC0Qr5g",,Sat Aug 18 09:24:08 +0000 2018
hal_eye,"RT @_PeterRyan: What are the hottest locations for blockchain companies? @coindesk Research looked into the matter and found:
 - In descend…","What are the hottest locations for blockchain companies? @coindesk Research looked into the matter and found:
 - In descending order, SF, London, and NY are the top 3
- Half of the top 10 are located in the US
- SF is the top blockchain venture-funded city with a total of $1.2 B https://t.co/CdAw451Svd",Sat Aug 18 07:23:04 +0000 2018
KhanParrukh,@Chiltan Aunty g plz get your eye sight checked. Shalwar pocket is located in a slightly different area.,,Sat Aug 18 07:21:44 +0000 2018
ruwata_mori,"As far as the eye could see, nothing could be seen expect cornfields. UIUC is located in the heart of America's Corn Belt.
大学周辺には一面のトウモロコシ畑が。さすがコーンベルトに属してるだけあります。 https://t.co/sEyINkxK8W",,Sat Aug 18 03:45:39 +0000 2018
ChittAtty,"RT @SBPolice1: Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutfo…","Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutforoneanother
#thisisagreatcommunity",Sat Aug 18 00:06:21 +0000 2018
SCWilsonAus,RT @VTinColorado: Sharks can see even in murky water due to tapetum lucidum. This is a layer of mirrored crystals located behind the retina…,Sharks can see even in murky water due to tapetum lucidum. This is a layer of mirrored crystals located behind the retina. These crystals reflect light back into the eye for increased vision. #EyeFact #Shark #vision https://t.co/RSFOK0fPeG,Fri Aug 17 23:45:59 +0000 2018
KojimaIntel,"Hideo Kojima was here! 
Kojima once uploaded a picture of this “eye” located in Shinjuku station, which is one of the world’s biggest and busiest stations. 

Hideo Kojima estuvo… https://t.co/ZdoVSa6QyS",,Fri Aug 17 22:29:21 +0000 2018
CodyBrodeur,"RT @CodyBrodeur: The butter only exists in your mind , It’s the only place where visual images are perceived &amp; hence located , The Brain tu…","The butter only exists in your mind , It’s the only place where visual images are perceived &amp; hence located , The Brain turns impulses from our senses into an order &amp; into a sequence as the light bounces off the butter , various combinations of wavelengths enter our eye",Fri Aug 17 22:07:20 +0000 2018
oziee_oma,"Shut up ur handle did not push the speech she made during international youth day or the partnership she made with eye doctors to help kids and patients with free surgeries or ur handle located this one to push, you have not moved on, she is still in ur face deal with it ....smh https://t.co/WxiBpcWvsq",,Fri Aug 17 20:40:44 +0000 2018
ftsmithchamber,"The ""Shop Local"" campaign is still underway!  Register at Laster Eye Center located at 9001 Jenny Lind Road.  You can also register by scanning/emailing a copy of your receipt showing that you ""shopped local"" to... https://t.co/MjX2SGhjUO",,Fri Aug 17 20:35:08 +0000 2018
mariarose1994,"@Jack_Septic_Eye Already booked the London one, I heard that the London one that it was located looks so pretty. It’s like in one of the video games :)",,Fri Aug 17 19:42:36 +0000 2018
CashSupport,@Ms_BeBeObi Our apologies you've been waiting for a resolution to your case. We've located your case with our team and flagged it so our team can take a look right away. Keep an eye out for an email with more info and thanks for your patience!,,Fri Aug 17 19:31:20 +0000 2018
VTinColorado,Sharks can see even in murky water due to tapetum lucidum. This is a layer of mirrored crystals located behind the retina. These crystals reflect light back into the eye for increased vision. #EyeFact #Shark #vision https://t.co/RSFOK0fPeG,,Fri Aug 17 19:30:16 +0000 2018
davisvision,"Located in South Jordan, Davis Vision Eye Center is a premier spot for LASIK surgery. Your eyes will be in good hands with Dr. Brian R. Davis, one of the nation's most experienced and sought after LASIK surgeons. https://t.co/05R0M2fURL",,Fri Aug 17 19:20:42 +0000 2018
beYou_Eye,"RT @MaroenL: Her name is Thami and she's located in Soweto. I met her outside campus, she makes bagpacks. Please support women in business.…","Her name is Thami and she's located in Soweto. I met her outside campus, she makes bagpacks. Please support women in business.
Contact her on 0719608455.
Please Retweet, her client might be on your timeline. https://t.co/ROlyI9Xwlk",Fri Aug 17 18:30:57 +0000 2018
FennellyTom,@wallacemick And not happy with getting sites that developers should have been given the chance to complete they are putting houses out of reach of young couples by using upmarket address's where the houses are not located. Government planners/blind eye. https://t.co/RKBoDeqQkl,,Fri Aug 17 18:23:56 +0000 2018
KatieWerry,"Kittens needing their furever homes! Located in Gibbons
The Orange kitty is Male, is gentle, affectionate, loves to cuddle.
White, with brown eye patches(snowshoe kitty) Male. Is playful, strong and rambunctious,... https://t.co/nkfSBoREZG",,Fri Aug 17 18:17:04 +0000 2018
DJMagnum357,"@staysharplux just got me right for my shape up

Located in the Boynton Beach Mall between Dillard's and JCPenney

Haircuts, ladies hairstyles, eye lashes, facials, and more https://t.co/jrpHwhOseH",,Fri Aug 17 17:27:51 +0000 2018
Ptbo_Canada,RT @PtboOpto: Do you know where to find us?! We are located at 1090 Clonsilla ave in lovely @Ptbo_Canada  We would love to help you with yo…,Do you know where to find us?! We are located at 1090 Clonsilla ave in lovely @Ptbo_Canada  We would love to help you with your vision and eye health needs! Give us a call! #whereweare #seeus #youreyes #yourtown https://t.co/I4qC0F31kA,Fri Aug 17 16:52:46 +0000 2018
GMC,"@oldies1170am Hi, Ron. We apologize for our delay in response. Please know, our team has located your private message, and will be responding shortly, requesting some additional information. Kindly keep an eye out for our message. Thank you. ^SM",,Fri Aug 17 16:51:45 +0000 2018
PtboOpto,Do you know where to find us?! We are located at 1090 Clonsilla ave in lovely @Ptbo_Canada  We would love to help you with your vision and eye health needs! Give us a call! #whereweare #seeus #youreyes #yourtown https://t.co/I4qC0F31kA,,Fri Aug 17 16:38:49 +0000 2018
wilberforce_sga,"Keep an eye on your email, textbooks are coming in! Pick up is in the IT Department located in the lower basement of the Wolfe. https://t.co/GwtQmNKHUW",,Fri Aug 17 16:26:49 +0000 2018
MeritHomesInc,"Grand Opening for Eye of the Tiger this weekend!  Located in the heart of south Rose Hill in Kirkland. Come and tour this stunning new Merit Home! Open house: Saturday &amp; Sunday from 1-4pm. 

Eye of the Tiger 
13118 NE 80TH ST... https://t.co/CAcOMzjlIK",,Fri Aug 17 15:35:01 +0000 2018
Ohio_Tourism,RT @DDayOhio: When you arrive on site at #DDayOhio2018 be sure to keep an eye out for Information Booths located throughout the park! Here…,"When you arrive on site at #DDayOhio2018 be sure to keep an eye out for Information Booths located throughout the park! Here you'll be able to ask for directions, purchase #DDayOhio Official Programs, and even buy a bottle of water on the go! https://t.co/mQR2VxsMnT",Fri Aug 17 15:18:41 +0000 2018
ks_riaz,"RT @_dmconstruct_: Hyperion Lyceum, located in the Overhoeks neighbourhood close to the Amsterdam EYE, is an example of the possibilities D…","Hyperion Lyceum, located in the Overhoeks neighbourhood close to the Amsterdam EYE, is an example of the possibilities DM Construct can offer schools. #modular #modularbuildings https://t.co/mHDWUKBrT1",Fri Aug 17 14:50:52 +0000 2018
WxnderingHealer,"+

tree branch and hid, keeping her eyes into the area where the dead body was located. As soon as the attacker stepped out to get the thrown spear, she gradually placed a poisoned arrow on her bow’s arrow rest, pulling her bow’s string whilst shutting an eye, and keeping her 

+ https://t.co/x8mHfwlEuo",,Fri Aug 17 14:25:10 +0000 2018
Dow32206612Jane,"RT @GlodHvl: Today is the first day of the course in Høgskulen på Vestlandet, and also the launching of our twitter account. Glöð is the na…","Today is the first day of the course in Høgskulen på Vestlandet, and also the launching of our twitter account. Glöð is the name of the Fire Safety research and education group located in Haugesund, Norway. We will be presenting ourselves in the following days, keep an eye! https://t.co/EgdyQfNRRf",Fri Aug 17 13:02:30 +0000 2018
DDayOhio,"When you arrive on site at #DDayOhio2018 be sure to keep an eye out for Information Booths located throughout the park! Here you'll be able to ask for directions, purchase #DDayOhio Official Programs, and even buy a bottle of water on the go! https://t.co/mQR2VxsMnT",,Fri Aug 17 12:01:38 +0000 2018
GenevieveGlass,@rickygervais Some species can literally see the earth’s magnetic fields due to a substance called magnitide located in their eye. Usually only in one eye though. So if they damage that eye they can’t migrate properly anymore.,,Fri Aug 17 11:26:35 +0000 2018
MPBAUK,"RT @_dmconstruct_: Hyperion Lyceum, located in the Overhoeks neighbourhood close to the Amsterdam EYE, is an example of the possibilities D…","Hyperion Lyceum, located in the Overhoeks neighbourhood close to the Amsterdam EYE, is an example of the possibilities DM Construct can offer schools. #modular #modularbuildings https://t.co/mHDWUKBrT1",Fri Aug 17 11:03:35 +0000 2018
mitsuikinomi,"Mga Beshhy 

GRAB ARE NEW PROMO AT AMSWAY BEAUTY SALON AND SPA

EYELASH EXTENSION 
FOR ONLY

300.00 Pesos only 

EYE LASH FIRMING 

250.00 Pesos only

Located @
Beside of DAGUPAN BUS TERMINAL , POBLACION, ALAMINOS CITY, PANGASINAN",,Fri Aug 17 06:39:40 +0000 2018
myperfectdrive,"RT @_dmconstruct_: Hyperion Lyceum, located in the Overhoeks neighbourhood close to the Amsterdam EYE, is an example of the possibilities D…","Hyperion Lyceum, located in the Overhoeks neighbourhood close to the Amsterdam EYE, is an example of the possibilities DM Construct can offer schools. #modular #modularbuildings https://t.co/mHDWUKBrT1",Fri Aug 17 06:18:45 +0000 2018
LathaRamaswamy,"@THE_HORNET_EYE @saipree07737948 @rakeshp847 @ndtv @TimesNow @republic Deltas in TN need river water or rainwater. However, we are geographically located in the low lying almost leveled plains that are not mountains like that of the western ghats. Our seashores are located mostly in the East.",,Fri Aug 17 06:17:28 +0000 2018
_dmconstruct_,"Hyperion Lyceum, located in the Overhoeks neighbourhood close to the Amsterdam EYE, is an example of the possibilities DM Construct can offer schools. #modular #modularbuildings https://t.co/mHDWUKBrT1",,Fri Aug 17 06:03:19 +0000 2018
Taylor_Reinarts,"RT @SleepyEyeONLINE: The Sleepy Eye Holiday Lights in Motion will be serving Cotton Candy, Sno Cones Christmas Cookies and Popcorn at Allis…","The Sleepy Eye Holiday Lights in Motion will be serving Cotton Candy, Sno Cones Christmas Cookies and Popcorn at Allison Park for Corn Days. They are located to the east of the enclosed shelter in their Community Concession Stand Building. Stop up and support the cause. https://t.co/e9XVuzmIm2",Fri Aug 17 03:54:53 +0000 2018
_lll63,"RT @SBPolice1: Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutfo…","Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutforoneanother
#thisisagreatcommunity",Fri Aug 17 01:24:58 +0000 2018
SleepyEyeONLINE,"The Sleepy Eye Holiday Lights in Motion will be serving Cotton Candy, Sno Cones Christmas Cookies and Popcorn at Allison Park for Corn Days. They are located to the east of the enclosed shelter in their Community Concession Stand Building. Stop up and support the cause. https://t.co/e9XVuzmIm2",,Fri Aug 17 00:25:00 +0000 2018
BRFCBTECSport,"RT @BRFCEnterprise: We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (comin…","We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (coming soon).

Located at Ewood Park, we offer various sized office suites, conference facilities and meeting rooms.

DM for further details or call: 01254 841750 👍 https://t.co/MkA0yViVVy",Thu Aug 16 22:50:39 +0000 2018
dina_atwood,"RT @SBPolice1: Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutfo…","Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutforoneanother
#thisisagreatcommunity",Thu Aug 16 22:31:57 +0000 2018
ReneeMyNBC5,"RT @SBPolice1: Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutfo…","Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutforoneanother
#thisisagreatcommunity",Thu Aug 16 22:10:16 +0000 2018
SBPolice1,"Ms. Huestis has been located thanks to the sharp eye of a community member.  Thank you for all of your help.  
#lookingoutforoneanother
#thisisagreatcommunity",,Thu Aug 16 21:58:37 +0000 2018
BrodyLevesque,"Incredible B&amp;W Headshot by @ajstetson of 21 year old British singer &amp; musician @AlejandroFHolt Alejandro is making his mark on the world folks &amp; is also a 2018 graduate of The University of Greenwich, a public &amp; research university located in London, UK Keep an eye on him! https://t.co/7KBsJ5c1wU",,Thu Aug 16 21:47:57 +0000 2018
AmyHardman_,"RT @BRFCEnterprise: We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (comin…","We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (coming soon).

Located at Ewood Park, we offer various sized office suites, conference facilities and meeting rooms.

DM for further details or call: 01254 841750 👍 https://t.co/MkA0yViVVy",Thu Aug 16 21:32:11 +0000 2018
Mick_whittle,"RT @BRFCEnterprise: We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (comin…","We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (coming soon).

Located at Ewood Park, we offer various sized office suites, conference facilities and meeting rooms.

DM for further details or call: 01254 841750 👍 https://t.co/MkA0yViVVy",Thu Aug 16 20:39:19 +0000 2018
BariMusawwir,Orlando we are here on Display today at America’s Best Contacts &amp; Eye Glasses located at 4652 Millenia Plaza Way Orlando Florida 32839 come by and say hi! @monsterjam #zombie #orlando @… https://t.co/NS9bi3ITOC,,Thu Aug 16 19:52:29 +0000 2018
MotelOne,"RT @MotelOneScot: And we’re in! The team at Motel One Glasgow have the keys for the newest Motel One hotel, located in the city centre of G…","And we’re in! The team at Motel One Glasgow have the keys for the newest Motel One hotel, located in the city centre of Glasgow! Keep an eye out for our opening date 💙 #motelonelife #motelone #PeopleMakeGlasgow @MotelOneCareer @MotelOne https://t.co/7qIWLq2BAE",Thu Aug 16 19:03:20 +0000 2018
mumpsump,"2/2 ... at night in the guise of a monk &amp; scared them by revealing its completely smooth face. Buson raised the stakes, giving the shirime ""one eye, located in its asshole, that shined like lightning"" ( 一ツの眼、尻の穴に有りて、 光ることいなづまのごとし) #FolkloreThursday",,Thu Aug 16 18:12:37 +0000 2018
martintin78,"RT @BRFCEnterprise: We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (comin…","We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (coming soon).

Located at Ewood Park, we offer various sized office suites, conference facilities and meeting rooms.

DM for further details or call: 01254 841750 👍 https://t.co/MkA0yViVVy",Thu Aug 16 18:02:26 +0000 2018
BRFCEnterprise,"We're back! 👏

Keep an eye out for the latest news from the @BRFCEnterprise, including meet the team and tenants (coming soon).

Located at Ewood Park, we offer various sized office suites, conference facilities and meeting rooms.

DM for further details or call: 01254 841750 👍 https://t.co/MkA0yViVVy",,Thu Aug 16 18:00:47 +0000 2018
TheSoulWithin_,Eye of God (Helix Nebula) The Helix Nebula is a large planetary nebula located approximately 695 light years from Earth in Aquarius constellation. It is the nearest... https://t.co/JmG4n3xd5L,,Thu Aug 16 16:20:46 +0000 2018
jimmystuart_,"Funny thing about my third eye Jules, it's located on my cock.",,Thu Aug 16 14:32:55 +0000 2018
HarkesRealty,"So happy to say that Harkes Realty &amp; Associates has a new property available!! Located on 334 Yale Rd, Pemberton, NJ 08068 🏠🏠
If this home catches your eye, please feel free to contact us 😊

P: (609) 337-4200
E: welcome@harkesrealty.com https://t.co/F5rqh4YxP9",,Thu Aug 16 13:57:21 +0000 2018
steveshoap,"RT @GlodHvl: Today is the first day of the course in Høgskulen på Vestlandet, and also the launching of our twitter account. Glöð is the na…","Today is the first day of the course in Høgskulen på Vestlandet, and also the launching of our twitter account. Glöð is the name of the Fire Safety research and education group located in Haugesund, Norway. We will be presenting ourselves in the following days, keep an eye! https://t.co/EgdyQfNRRf",Thu Aug 16 13:52:27 +0000 2018
Ruariam,Mines not located on forehead. That’s for the 3rd eye. It calls BS. My clit on the other hand is dumbass.,,Thu Aug 16 11:05:29 +0000 2018
DrRobMelendez,"I’ll be mainly working here at this office. One of our largest optical shops is located here plus numerous Ophthalmology specialties and Optometry.  505-888-5757
#albuquerque #ophthalmology #optometry #eyes #eyeexam  @ Eye Associates of New Mexico",,Thu Aug 16 10:20:59 +0000 2018
ayalew,"@EthioPhenomenal Not directly involved ...

But, our small school eye health project of our foundation (https://t.co/OrWqQrgIkS) is executed by IFA (located close to Denbel bldg, Olympia sq.), which also provides, among other things, sanitary pads for girls for low income families. 
#BSBL #IFA https://t.co/otmXe05EZm",,Thu Aug 16 09:54:11 +0000 2018
DiscoveryPark_,There have been tousands of jobs created by the businesses located here since we became a multi-business science park six years ago. Keep an eye on our website for the latest vacancies https://t.co/fias2tVshV  #JobsKent,,Thu Aug 16 09:00:00 +0000 2018
zeesantos_,RT @OfficialDoyDoy: Bokan - For dinner &amp; views or just casual drinks with an eye catching setting try Bokan. This 37th floor restaurant loc…,Bokan - For dinner &amp; views or just casual drinks with an eye catching setting try Bokan. This 37th floor restaurant located in Canary Wharf presents a number of European dishes.  @BokanLondon                  FYI: Rooftop terrace is now open! https://t.co/UABBAA4Hk9,Thu Aug 16 07:29:44 +0000 2018
StephenFireRisk,"RT @GlodHvl: Today is the first day of the course in Høgskulen på Vestlandet, and also the launching of our twitter account. Glöð is the na…","Today is the first day of the course in Høgskulen på Vestlandet, and also the launching of our twitter account. Glöð is the name of the Fire Safety research and education group located in Haugesund, Norway. We will be presenting ourselves in the following days, keep an eye! https://t.co/EgdyQfNRRf",Thu Aug 16 06:50:19 +0000 2018
IHaraldseid,"RT @GlodHvl: Today is the first day of the course in Høgskulen på Vestlandet, and also the launching of our twitter account. Glöð is the na…","Today is the first day of the course in Høgskulen på Vestlandet, and also the launching of our twitter account. Glöð is the name of the Fire Safety research and education group located in Haugesund, Norway. We will be presenting ourselves in the following days, keep an eye! https://t.co/EgdyQfNRRf",Thu Aug 16 06:12:31 +0000 2018
NUSBallroom,"Hi everyone! Our booth is at the SLF right now!! Do drop by to learn more about the club from our helpful seniors present!

We are located at the Atrium, right outside NTUC! You won't miss us with the eye catching dress displayed ;) Hope to see you all there!",,Thu Aug 16 05:42:46 +0000 2018
Eye_on_Somalia,Here is proof that the ancient Punt Civilization really existed and is located in present-day Somalia https://t.co/xF9Ky495zb https://t.co/apR4RRcsVn,,Thu Aug 16 04:57:07 +0000 2018
Frasmith123,@causticbob The Etch-a-Sketch Gallery is located right next door to the googley eye factory.,,Thu Aug 16 02:13:47 +0000 2018
hermitme1,"RT @chandraxray: This graceful structure is known as the #Cat's Eye Nebula. Located about 3,000 light years from Earth, it's a mesmerizing…","This graceful structure is known as the #Cat's Eye Nebula. Located about 3,000 light years from Earth, it's a mesmerizing example of a phase of stellar evolution that our Sun will likely experience several billion years from meow, err, now. Happy #InternationalCatDay ! https://t.co/C71eYskF7W",Thu Aug 16 01:28:59 +0000 2018
Ochan30,"Also they have a ""Rei expy"" on their team called D. D was created from the Artifact technology with her ""soul"" located in her eye. She seems to have an immediate attachment to Kazuki.
#DualParallelTroubleAdventure",,Thu Aug 16 00:02:46 +0000 2018
PlanteMrs,"Too bad his eyes are not located on the top of his head, then maybe I would feel like we were having a conversation involving some form of eye contact. https://t.co/tEXuY1EW77",,Wed Aug 15 23:59:41 +0000 2018
SpotifyCares,@Mr_Kha0s Hey there! Could you let us know where you're located? We'll keep an eye out for your reply /QZ,,Wed Aug 15 23:48:41 +0000 2018
Pixel_Vengeur,"@GageBowls @Jack_Septic_Eye I don't know where their warehouse is located, but I bet they burried all their stock and DHL has to dig them all one by one using a spoon. That's the only explanation I can think of. That, or the Brexit.",,Wed Aug 15 23:12:06 +0000 2018
Craig_Ranch,"Did you know it’s #NationalSafeatHomeWeek? This week we are helping bring awareness to potential dangers located within your very own home! Today, we recommend walking through your entire house with a close eye to look for potential dangers. https://t.co/me2yuQMlOB",,Wed Aug 15 22:50:07 +0000 2018
mllebernard,@sammygssgraff Dr. Skouras of Skouras Eye &amp; Cosmetic centre is great. He’s located at Yonge and Eglinton.,,Wed Aug 15 21:46:24 +0000 2018
HereComsTrouble,"@Mariah2you Im trying very hard, they located leak under kitchen cabinet. Leak is b n fixed but bedroom wall n kitchen floor hz to b repaired...eye, yie, yieee! A mess in my house.❤ https://t.co/qcxygoNOBh",,Wed Aug 15 21:05:32 +0000 2018
Gallery1313,"#OPENNOW 
EYE OF THE BEHOLDER: SCULPTURE AND WORKS by Jason Bouchard 
Located in the Cell Gallery 
Open: August 15th -26th 
Reception: August 16th @ 6:30pm 
Details at https://t.co/oCAQa88Lk1  #parkdale #queenstwest
#torontoart  #canadianart  #artnews #creative #artgallery https://t.co/TigyihU7Hu",,Wed Aug 15 20:34:46 +0000 2018
