KLinganagouda,"@narendramodi Dear beloved PM shree Modiji,please pay attention to karnataka also.lot of people trapped in kodugu district,they need urgent help.",,Sat Aug 18 19:28:46 +0000 2018
MerryinCampbell,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:28:18 +0000 2018
Jesusnaction,"I liked a @YouTube video https://t.co/nOoER0UeKW When This Man Met A Wolf Trapped Alone In The Woods, He Did What Most People Would",,Sat Aug 18 19:28:07 +0000 2018
AdventureW0rks,This is a very valuable concept for all teachers. Young people that learn to avoid taking risks out of a fear of failure end up as adults feeling trapped and unable to live to their full potential. https://t.co/XkkusJgcP7,,Sat Aug 18 19:27:53 +0000 2018
vudochilde,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:25:26 +0000 2018
operasingerBB,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:24:48 +0000 2018
MenonKailash,"RT @ssaig: As we head back, the only thing on our mind was whether there were people trapped without food and water in those empty flooded…","As we head back, the only thing on our mind was whether there were people trapped without food and water in those empty flooded houses   Driving back with a heavy heart. Kerala, we will get through this. This was day 3. We don’t know how many more days but we are with you.",Sat Aug 18 19:24:43 +0000 2018
Fried49G,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:24:36 +0000 2018
shshsvrn,"RT @akhiladundu: Please retweet as much as possible. 26 people have been trapped for more than 48hrs.
#KeralaFloods 
#KeralaFloodRelief 
#I…","Please retweet as much as possible. 26 people have been trapped for more than 48hrs.
#KeralaFloods 
#KeralaFloodRelief 
#IndiaForKerala https://t.co/SecFn9DMP5",Sat Aug 18 19:24:10 +0000 2018
mheany2,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:23:53 +0000 2018
Skajolly,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:23:46 +0000 2018
SueLeugers,"RT @tictoc: WATCH: Indian Air Force airlifts stranded people in Kerala, trapped in their homes after floods in the area https://t.co/uK3j2B…","WATCH: Indian Air Force airlifts stranded people in Kerala, trapped in their homes after floods in the area https://t.co/uK3j2BE5Rx",Sat Aug 18 19:23:40 +0000 2018
ElleYork2,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:23:37 +0000 2018
leafhand,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:23:02 +0000 2018
FireKicker53,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:22:55 +0000 2018
VsVinila,"RT @VsVinila: @TeamMessi # stand with Kerala 
Plz help the people of Kerala in India. We need so much support this time. Kerala is in great…","@TeamMessi # stand with Kerala 
Plz help the people of Kerala in India. We need so much support this time. Kerala is in great disaster. Worst flood in the history of the state. So many people are trapped. Plz help our people.",Sat Aug 18 19:22:50 +0000 2018
booksyjojo,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:22:27 +0000 2018
BethShadday,RT @SethAbramson: What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV ch…,What's scary is that Trump is revoking the security clearances of people who say things he doesn't like even as the TV channel he watches all day every day hires as supposedly fair commentators people who Trump still has trapped in NDAs that *prohibit them from criticizing him*.,Sat Aug 18 19:22:14 +0000 2018
