Economissive,"@donal_curtin I think the problem with workplace drinks is more about people assuming the least offensive food is the blandest.

So there's the NZ distribution of taste versus, say, India (your point). But the workplace drinks sit at the blandest point in the NZ distribution.",,Fri Aug 03 23:05:23 +0000 2018
QEDdiyZ,"@Xene1042 @robert_zubrin Actually, it doesn't matter even if we assume ""limited resources"" because the problem is distribution https://t.co/sTT9mlid2E Case in point: We produce enough to feed 2 earths, yet half of what's produced in the west gets trashed, while a billion is hungry https://t.co/4v1W7kHve8",,Fri Aug 03 22:04:16 +0000 2018
gosharpshooter,"@Trad89 Anyway my point is that counting macros is not 'basic'. Personally, I'd rather concentrate on overall diet quality with a well balanced distribution of food types that *I* enjoy. The macros take care of themselves. If you wanna count 'em, knock yourself out",,Thu Aug 02 11:23:15 +0000 2018
GAKechnie,"@StephenGutowski Just imagine what this will do to manufacturing, food distribution (yes, you will be able to print food) even drug dealing (it’s very possible that someday you will be able to print out fretanyl). So, complaining about what is accurate about the stories today is missing the point",,Tue Jul 31 21:46:46 +0000 2018
graphy,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 15:35:26 +0000 2018
ReneMillman,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 12:38:32 +0000 2018
Johnny_Blaze_08,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 12:31:22 +0000 2018
Shurretep,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 12:27:54 +0000 2018
RantingUnderDog,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 11:10:36 +0000 2018
neils46,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 11:06:46 +0000 2018
northlondonpoly,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 10:58:30 +0000 2018
cats2home,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 10:52:43 +0000 2018
ddstretch,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 09:59:59 +0000 2018
rhsp27,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 09:50:51 +0000 2018
chrisk_hw,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 09:10:35 +0000 2018
redalphababe,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 09:09:44 +0000 2018
Soupmaman,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 08:57:33 +0000 2018
FParsonage,RT @staringatclouds: Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling o…,"Could @SteveBakerHW or @Jacob_Rees_Mogg point to a single member state of EU27 that is contemplating the stockpiling of food, fuel or medicine &amp; using their military for distribution because of the damage Brexit will do to them

And if they can't, then why are we considering it ? https://t.co/wYTfB2Yp3i",Tue Jul 31 07:31:22 +0000 2018
