ChanceAustin,@GovMikeHuckabee Yes and you support this right? https://t.co/9d0PzQ2KbN,,Sat Aug 04 09:02:55 +0000 2018
yoururgentcare,Diarrhoea is the most common health condition suffered by tourists when abroad. Eating contaminated food and drinking contaminated water are the two most likely causes! 🤢  Find out  how to treat your symptoms here: https://t.co/CFh9xrYA0c #TummyTrouble #NHS #HolidayHealth https://t.co/p5AikpBHUA,,Sat Aug 04 09:00:29 +0000 2018
salmangopi,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",Sat Aug 04 08:49:02 +0000 2018
JuZ_BCuZ,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",Sat Aug 04 08:16:42 +0000 2018
PPPSocialMedia1,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",Sat Aug 04 08:03:38 +0000 2018
aj_hopkins30,"@KarlTowns It’s not just flint anymore, many towns here in MI are contaminated with PFAS in their water",,Sat Aug 04 07:52:06 +0000 2018
D_H_Gallery,"©︎100%純污水製冰所 
It is an artist in Taiwan. They will make ice pops using Taiwan's contaminated water. #art
https://t.co/eRXD58nug2",,Sat Aug 04 07:43:31 +0000 2018
Amir32201743,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",Sat Aug 04 07:20:01 +0000 2018
hoisthecolours,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Sat Aug 04 07:17:55 +0000 2018
IbrahimIshfaq1,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",Sat Aug 04 06:57:49 +0000 2018
WaliMohd1988,"RT @ibrohi31: Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has de…","Water Supply Lines in lower Gizri to be replaced 4 Inch Dia pipes will be installed. 

UC31 Chairman Karamullah Waqasi has decided to phase-wise replace old water supply lines with new ones in all Wards Of UC-31 to avoid delivering contaminated water to the area residents https://t.co/6Zek1WIqkT",Sat Aug 04 06:54:05 +0000 2018
