Colten45,Absolute worst thing you could do is help create a false positive feedback loop that people will end up trapped in their own little bubble that could end in destruction of everything.,,[3]
mstieldean,"RT @casitstoobig: Dabb: ""People only realise how important someone when they're gone. Cas will mourn Dean. And Dean will be trapped inside…","Dabb: ""People only realise how important someone when they're gone. Cas will mourn Dean. And Dean will be trapped inside Michael, forced to witness what Michael does with his own body"" 
Me: https://t.co/zx5oKUlOSE",[3]
elementsx0x,"@slprice1 I get you sheri, nice to see stengh of mind good for , be true to your self, and live better, one thing for sure modern people are trapped in a bubble, like you i don,t want that ever or wish it on anyone, be free people it the right way to find your true freedom",,[3]
muthequestion,"@nyunggai @QuilletteM In praise of a work ethic and modern prosperity, sprinkled with anecdotes of success, a lament about the welfare trap, the idea that we pity too much—I’d like to see an indigenous voice explore the reasons people get trapped in more detail than this.",,[3]
solutionhut_hsk,"@risingofasun @jetairways @bsindia @CNBCTV18News See.. there must be a lot of people trapped like u... Thats why i feel that this should end.. @SEBI_India keeps sleeping.. these kinds of news comes to trap retail players.. then management comes next day and ""rubbishes"" any such news.. make money for themselves..",,[3]
memonjb,RT @hrw: 2.3 million people are trapped in Syria’s Idlib province as fighting intensifies. https://t.co/M24fexITXN,2.3 million people are trapped in Syria’s Idlib province as fighting intensifies. https://t.co/M24fexITXN,[3]
138insan,RT @PoojaInsan1: #EliminateNegativitySaysDrMSG negative power (mann) is very powerful internal enemy of human unwillingly people just get t…,#EliminateNegativitySaysDrMSG negative power (mann) is very powerful internal enemy of human unwillingly people just get trapped in this conspiracy. One can conquer mann by reciting god's name regularly. @derasachasauda https://t.co/Qsh8R7Hsax,[3]
WhatNowTala,"RT @peta: Elephants show signs of grief, humor, &amp; compassion. They’ve also been known to help other animals, like rescuing trapped dogs. Fo…","Elephants show signs of grief, humor, &amp; compassion. They’ve also been known to help other animals, like rescuing trapped dogs. For elephant rides, they're mentally &amp; emotionally broken before people climb onto them 💔 

Tell @Barbie to stop promoting this! https://t.co/6tni3eChmi https://t.co/LqKDqNZhzl",[3]
hellopangsie,"RT @neiljedcastro: 3. Because some people allow themselves to be trapped in a toxic relationship. 

If you are the only one doing the right…","3. Because some people allow themselves to be trapped in a toxic relationship. 

If you are the only one doing the right thing, it is time for you to think twice. You should learn to prioritize yourself because you will never go wrong with self-love.",[3]
ghrend,"RT @MintPressNews: In #Yemen, fishing is no longer the main activity practiced by most residents, instead, the hunt for civilians trapped u…","In #Yemen, fishing is no longer the main activity practiced by most residents, instead, the hunt for civilians trapped under the rubble of structures destroyed by Saudi-led coalition airstrikes, using U.S. weapons, has come to take people’s time.
https://t.co/m95ZJATdcx",[3]
Rajeshmunday1,"RT @insanshobha: Known for their prompt service, the volunteers of @derasachasauda aided the rescue operation of people trapped under the d…","Known for their prompt service, the volunteers of @derasachasauda aided the rescue operation of people trapped under the debris of a 5/3 storey building in Khoda Colony, Ghaziabad. May the blessings of Saint Dr. @Gurmeetramrahim Singh Ji Insan keep their spirit soaring high! https://t.co/zWKTVhb7Ih",[3]
harjeetsingh234,RT @ksushma140: #EliminateNegativitySaysDrMSG negative power (mann) is very powerful internal enemy of human unwillingly people just get tr…,#EliminateNegativitySaysDrMSG negative power (mann) is very powerful internal enemy of human unwillingly people just get trapped in this conspiracy. One can conquer mann by reciting god's name regularly. @derasachasauda https://t.co/IrtFQsP5WO,[3]
farshnuke,Today I start work on a story called Fog of Store. A story about people from a fantasy world dealing with the threat of an all consuming nanite cloud while trapped in a department store.,,[3]
PetaLeaCream,Once again I am trapped in my room while my house is full  of  people  😣 social anxiety  sucks.,,[3]
MotherOfMoons,"RT @alwaystheself: White People: ""Let's put a (white) man on the moon! Let's put a Tesla in space! Let's colonize other planets! Let's..""…","White People: ""Let's put a (white) man on the moon! Let's put a Tesla in space! Let's colonize other planets! Let's..""

Also White People: ""Diversifying our workforce and executive leadership is an enigma trapped in a riddle trapped in an unsolved mystery....""",[3]
tarunaroracpl,"@Livpurewater @sachin_rt Pathetic Service of Livpure, uneducated people emplyed by company for ACMC, guys posting this don't get trapped, don't buy ACMC, the service engineer behaves like street thug!! #pathetic #shame #shrewedcompany #uselesscompany",,[3]
_Waywardgirl_,"RT @bowleggedean: ""he's trapped. he's being dragged along. even he s not the person killing people it's still his hands, he feels it, and t…","""he's trapped. he's being dragged along. even he s not the person killing people it's still his hands, he feels it, and that changes him as well"" :( 

i am really not ready to see dean go through ptsd because of michael
https://t.co/JCKLIQqRQ2 https://t.co/WIfBenXByg",[3]
SeeTheAirBot,"RT @Badservice984: .@helenhayes_ .@coyleneil .@HarrietHarman .@vincecable .@theresa_may .@jeremycorbyn: #Heathrow, #LondonCityAirport &amp; #Ga…",".@helenhayes_ .@coyleneil .@HarrietHarman .@vincecable .@theresa_may .@jeremycorbyn: #Heathrow, #LondonCityAirport &amp; #Gatwick are killing people trapped under their flight-paths. It isn't just #noise, although that's terrible, it's #airpollution, which leads to illness &amp; death. https://t.co/ZqbkYhne1M",[3]
AwakenedDeviant,"@RevenantAndroid He still couldn't believe it.

One moment he is investigating an old Cyberlife camp with some people from Jericho and the next they are all dead and he is trapped.

Of course he had fought back, of course the Cyberlife people had also suffered victims.
--",,[3]
Ahmed_Mxr,"the bellows to create a fire that would melt the iron so it would stick together. Only Allah swt knows how they were able to accomplish this task, this barrier was built between two mountains, the people of Ya’juj and Ma’juj were trapped and could neither climb over it",,[3]
AngelaStillwell,"@cat_samson @AngusMcPussPuss @Biscuit_Meow @OssieAndLuna @Dollythercat @duchess_meow @RosieandRollo @CounsellorsCat @reg_ron1 @DixDolly @MollyMoggy26 @SootyandSheldon @TulipandSweep @mogs_at_28 @SamanthaHarrie3 Aww thank you, Samson dear. Granny gets a scary trapped feeling, not helped by people suddenly stopping so she trips ofur their wheelie case and/or gets their rucksack in her face.  So many airbnbs around here now it's not just the city centre that's super busy. Pawhugs 💕🐾💕😽",,[3]
ansimova_lyusya,"@MorrisseyHelena Unfortunately, this beautiful country and its people are poor and so, are trapped by Brussels, possibly, for good. Young well educated people are fleeing from their motherland to find better future in richer countries. Greece loses its most valuable asset, younger generation.",,[3]
parkcharlie1,"August 3, 2018. As the Metro Cab Doors closes, Shit! The homeless elderly people trapped me again using their luggage and shopping carts. Suddenly I smell a dog inside these carry on bags suffocating maybe? Wait! Did I hear a black woman saying get off me? https://t.co/Ta2MrHZUL5",,[3]
lucilovesluci_,"RT @dodo: When these people noticed a mama duck freaking out, they realized all of her babies were trapped in a sewer. So they all worked t…","When these people noticed a mama duck freaking out, they realized all of her babies were trapped in a sewer. So they all worked together to reunite the family 💞🦆 https://t.co/jtPM0FX9gG",[3]
debbyfield1,"@gracepetrie Grace. What IS insensitive is Tory policies which means children going hungry, disabled people driven to the depths of despair, families trapped in poverty, rising numbers of homeless people dying on the streets. Get some perspective?",,[3]
KingxKalo,"Marnie's hand paws are half lined, half not. I like how the Lycra lining feels but worry about sweat getting trapped does exist. Some people are cool with the extra upkeep! Some would rather wear gloves. Both are fuckin fine why are we arguing about this.",,[3]
margie03jamero,"RT @susie_tessie: “Simply by our proximity to Jesus, we can bring hope and life to people and places trapped in discouragement and despair.…","“Simply by our proximity to Jesus, we can bring hope and life to people and places trapped in discouragement and despair.” -Louie Giglio
@mainedcm 

 #37thMainesary",[3]
Thala23996,"RT @WayThingWorks: This Leopard was trapped deep in a well, so people built him a ladder, he just had to figure out how to climb it. ❤️ htt…","This Leopard was trapped deep in a well, so people built him a ladder, he just had to figure out how to climb it. ❤️ https://t.co/4lLAYf8kXQ",[3]
sisofrida,"RT @TenPercent: Osteoarthritis, can’t walk up 4 flights to the flat – and no lift. How many disabled people are trapped like this? https://…","Osteoarthritis, can’t walk up 4 flights to the flat – and no lift. How many disabled people are trapped like this? https://t.co/CzDmCGh8UA",[3]
kaz334,"RT @bigdeedesy: Bit bored of the “Frankie’s back with a bang”, “it hasn’t been the same without Frankie” etc.... Jeez... the guy was banned…","Bit bored of the “Frankie’s back with a bang”, “it hasn’t been the same without Frankie” etc.... Jeez... the guy was banned for 6 days for irresponsible riding not trapped in a cave for 6 months. Come on People. Get a grip.",[3]
BrummyBaggieAC,"RT @Oldburyfire: White Watch are off home on rest days after a week consisting of 1 large factory fire, 3 sheds on fire, 6 garden fences on…","White Watch are off home on rest days after a week consisting of 1 large factory fire, 3 sheds on fire, 6 garden fences on fire, 1 flat fire, 8 people trapped in a lift and a car crashing into a house! The baton now handed to Green Watch! #FireShift https://t.co/lGqANn8kjl",[3]
MrNMJackson,The knock on effect this has on the NHS can’t be overstated. Ever wondered why so many people are trapped in hospital ‘bed blocking’? https://t.co/DUM1g3aIOd,,[3]
SafariSara,RT @roshbeth: Weird how some people finding themselves trapped in a hole of their own making keep digging (&amp; shout abuse at their rescuers)…,"Weird how some people finding themselves trapped in a hole of their own making keep digging (&amp; shout abuse at their rescuers), rather than admitting their mistake. Maybe Ruth thinks it'll save her reputation, when it'll just destroy what's left of it ... 🙄😎🇪🇺
#brexitshambles https://t.co/oSjqk8QPkY",[3]
hrw,2.3 million people are trapped in Syria’s Idlib province as fighting intensifies. https://t.co/M24fexITXN,,[3]
ShyamLalAggarw1,"RT @Paras_TOI: Bus struck  at Minto Bridge near CP
6 people trapped.
Responsible agency:: PWD
@SatyendarJain 

#FixResponsiblity https://t.…","Bus struck  at Minto Bridge near CP
6 people trapped.
Responsible agency:: PWD
@SatyendarJain 

#FixResponsiblity https://t.co/8rKfinPaGR",[3]
