KnifeSanta,"@DarkLordRS @aevanko yeah there's a few things that could use some tweaking. Like you said, as an example, cluster is absurdly powerful. I think a good fix for the rng canon builds would be a slight reduction in damage per explosion coupled with a nerf to how many bomberries you can carry. --",,Sat Aug 04 08:24:46 +0000 2018
Imaarrii,@MichaJawkan Major downside of multihit aoe explosion ammo: range and stagger ...... Capcom: what if we give a mantle that makes you immune to damage and stagger 🤔🤔🤔,,Sat Aug 04 07:17:13 +0000 2018
SpellEvery,"Name: Immoral Explosion
Target: Channeled
Range: 10ft
Effects: apply sleep to target,
 apply paralysis to target,
 apply poison to target,
 apply death to target,
 25 shock damage to caster",,Sat Aug 04 03:33:26 +0000 2018
ArizonaNewsnet,RT @TucsonStar: World View balloon explosion caused nearly half a million dollars in damage https://t.co/vnbIQYtrKD https://t.co/ADpo8I3vkN,World View balloon explosion caused nearly half a million dollars in damage https://t.co/vnbIQYtrKD https://t.co/ADpo8I3vkN,Sat Aug 04 03:02:34 +0000 2018
scadaman,RT @TucsonStar: World View balloon explosion caused nearly half a million dollars in damage https://t.co/vnbIQYtrKD https://t.co/ADpo8I3vkN,World View balloon explosion caused nearly half a million dollars in damage https://t.co/vnbIQYtrKD https://t.co/ADpo8I3vkN,Sat Aug 04 02:58:03 +0000 2018
TucsonStar,World View balloon explosion caused nearly half a million dollars in damage https://t.co/vnbIQYtrKD https://t.co/ADpo8I3vkN,,Sat Aug 04 02:55:10 +0000 2018
sheerassattack,"The explosion is small enough that it does no real damage to anything else, though it ripples across the tip of Kira's dick",,Sat Aug 04 02:37:12 +0000 2018
tatianycoeuvre,"RT @FtJ13216153: @tatianycoeuvre The more important damage isn't due to the explosion itself, the damage would be due to the released radio…","@tatianycoeuvre The more important damage isn't due to the explosion itself, the damage would be due to the released radioactive fragments on wide areas due to the explosion, as cobalt bombs are used as payload in those drones.",Fri Aug 03 21:45:46 +0000 2018
JayRyanAstro,"Rogue meteor explodes with a force of 2.1 kilotons near a US Air Force base in Greenland.  Video included of the damage from the Chelyabinsk event in 2013, which blew out windows and even doors... a reminder that cosmic debris can drop down from above... https://t.co/9AvxDYU71x",,Fri Aug 03 19:53:12 +0000 2018
lummideastrss2,Aleppo: damage near Abu Bakr al-Siddi mosque in the area of ​​Hamdaniya cause rocket-propelled grenade explosion https://t.co/JUU8QdMSZY,,Fri Aug 03 18:48:06 +0000 2018
Gene_Xgh,RT @NSIAInsurance: Our Computer &amp; Electronic Equipment Insurance - This policy covers against loss or damage to your Computer and other Ele…,"Our Computer &amp; Electronic Equipment Insurance - This policy covers against loss or damage to your Computer and other Electronic Equipment as a result of Fire, Lightning, Explosion, Burglary, Theft, Water damage and other accidental causes.

#Assurance
#ProductOfTheWeek https://t.co/iJrzNGKiCE",Fri Aug 03 18:10:06 +0000 2018
Krashy_,"@Rhymestyle No, you got the damage for each needle hit but not the explosion itself.",,Fri Aug 03 17:02:28 +0000 2018
JayBoneMusic,"Mystery meteor reportedly makes 2.1 kiloton explosion above US military base — and the Air Force said nothing - Business Insider

-&gt;so something of that magnitude has no trace of its existence other than tweets and charts??? 🤔

No tsunami, wind damage etc https://t.co/qg9Zo31Dk1",,Fri Aug 03 16:06:48 +0000 2018
sakanachanukule,"Health damage caused by radioactivity by Fukushima explosion came out in Japan. Thyroid cancer, such as leukemia.",,Fri Aug 03 15:04:05 +0000 2018
ElmerPalaceSE25,"On This Day In 2001 a car bomb containing 45kg Of explosives detonated in a busy west London street. The explosion happened just after midnight &amp; caused an estimated £200,000 of damage. Dissident Irish republicans were blamed.   #OnThisDay    #EalingBroadway   #CarBomb https://t.co/nFWU3YoxU8",,Fri Aug 03 13:40:40 +0000 2018
OccuWorld,Aleppo: damage near Abu Bakr al-Siddi mosque in the area of ​​Hamdaniya cause rocket-propelled grenade explosion https://t.co/QYmSgPr3Dd,,Fri Aug 03 13:20:32 +0000 2018
nemo_sub,@PeterLePage There were reports of an explosion but I was on the front in town and didn't hear anything. Just thick black smoke reaching across to Peter Port. Hopefully no one hurt and not too much damage.,,Fri Aug 03 10:46:29 +0000 2018
jyuannkimo,"@PumaBare @ElonMuskNewsOrg Good question. My guess is that a cylindrical battery is a lot easier to make, compared to a huge and flat one albeit the total electricity that it provides is unavoidably less. In addition, in case of explosion, one single battery explosion causes far less damage to the vehicle.",,Fri Aug 03 10:12:45 +0000 2018
InferNorse,@Professeur_CS @gla1ve_csgo I like this although kills the excitement in ninjas 🤔 I would agree with it increasing the C4 explosion damage a bit.,,Fri Aug 03 09:44:28 +0000 2018
SyrianNews247,Aleppo: damage near Abu Bakr al-Siddi mosque in the area of ​​Hamdaniya cause rocket-propelled grenade explosion https://t.co/YNH10N9Nu2 https://t.co/Bm1uRbJyU5,,Fri Aug 03 08:20:05 +0000 2018
Defaultskin8,RT @JackalMRB: @Defaultskin8 @zTriKz @SGH_RTs @BlazedRTs Dynamic explosive damage. As you get farther from the center of the explosion you…,@Defaultskin8 @zTriKz @SGH_RTs @BlazedRTs Dynamic explosive damage. As you get farther from the center of the explosion you take less damage,Fri Aug 03 02:24:42 +0000 2018
JackalMRB,@Defaultskin8 @zTriKz @SGH_RTs @BlazedRTs Dynamic explosive damage. As you get farther from the center of the explosion you take less damage,,Fri Aug 03 02:22:35 +0000 2018
Pubsified_,"@fIuxed LMAOOO idek I think they increased the damage radius , so they increased the size of the explosion but not the damage itself",,Fri Aug 03 01:36:33 +0000 2018
AZgeri2004,"World View Explosion “Superficial” Damage Costs Double, Half-A-Million In Repairs - https://t.co/EbUin0rpUQ",,Fri Aug 03 00:10:56 +0000 2018
ianjmajewski,"Without MBD4, methylation damage fuels an explosion of abnormal blood cell progenitors and guides them along a conserved path to leukaemia. We reveal how methylation damage impacts blood stem biology, which has relevance for understanding normal ageing #ARCH #CHIP",,Thu Aug 02 23:24:59 +0000 2018
Steftyler,"RT @Yalla_EN: Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massi…","Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massive damage. One of the first to respond was Sunni mechanic Laith, leading the clear up and repairing what vehicles he and his team could. https://t.co/SW7LPCQD9B",Thu Aug 02 21:53:32 +0000 2018
LaurelT1,"In 1916, German Terrorists Launched an Attack on American Soil Statue of Liberty, a legacy of the disaster remains: Due to the damage the statue sustained on July 30, 1916, its torch has been closed to the public for the last century. https://t.co/skUXgIMJR5 via @history",,Thu Aug 02 21:06:08 +0000 2018
DavidSi48585652,RT @Rojavian: Video of #Idlib explosion shows the enormous damage. https://t.co/Lmh2eWMJE5,Video of #Idlib explosion shows the enormous damage. https://t.co/Lmh2eWMJE5,Thu Aug 02 20:49:15 +0000 2018
COBY_NINJA,"@Hands0meDrag0n @AnonPig @Cozmo23 Uh, the explosion radius on rockets has been pretty spotty, I've died to rockets that far away from me, so there's a good chance that it did damage.",,Thu Aug 02 20:39:23 +0000 2018
d_whyp,"@DrewskysChannel There was also an explosion in the background, and we don't know if it was a friendly rocket, or if it dealt damage...If that guardian took damage from an additional source that could impact what we saw. I'm going to wait for the reveal to see actual footage and #'s",,Thu Aug 02 20:20:15 +0000 2018
DaChemicalCat,@sud4nym it's an ol betsy with a scope but a lot of event store guns allow you to do stuff like run Crit Rating+Crit Damage+Crit Damage. It also comes with Headshot explosion which is about the best you can ask for on that gun.,,Thu Aug 02 19:39:26 +0000 2018
Damage_Time,@HighOnSweetTea Ness probably absorbed the explosion but nit the grenade itself. Similar to how in 4 he can absorb Link's bomb's explosions but is unaffected by the bomb itself,,Thu Aug 02 19:29:32 +0000 2018
AW9010,"RT @Yalla_EN: Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massi…","Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massive damage. One of the first to respond was Sunni mechanic Laith, leading the clear up and repairing what vehicles he and his team could. https://t.co/SW7LPCQD9B",Thu Aug 02 18:17:55 +0000 2018
matti_rattata,"@FaucetRye I agree, he is, though I have to ask, does taking damage cause an explosion effect? Not him blowing up, but the blast around him, maybe from the tip of his tail.",,Thu Aug 02 17:56:00 +0000 2018
RubaAlHassani,"RT @Yalla_EN: Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massi…","Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massive damage. One of the first to respond was Sunni mechanic Laith, leading the clear up and repairing what vehicles he and his team could. https://t.co/SW7LPCQD9B",Thu Aug 02 17:48:29 +0000 2018
BloombergEnv,"Both the Husky Energy and ExxonMobil refineries had hydrofluoric acid on site that did not ignite but prompted concerns the damage could have been much worse. 

https://t.co/ElgUIplJKb",,Thu Aug 02 17:45:05 +0000 2018
iraq_mawtini,"RT @Yalla_EN: Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massi…","Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massive damage. One of the first to respond was Sunni mechanic Laith, leading the clear up and repairing what vehicles he and his team could. https://t.co/SW7LPCQD9B",Thu Aug 02 17:44:07 +0000 2018
ONC3X,RT @Rojavian: Video of #Idlib explosion shows the enormous damage. https://t.co/Lmh2eWMJE5,Video of #Idlib explosion shows the enormous damage. https://t.co/Lmh2eWMJE5,Thu Aug 02 17:23:23 +0000 2018
Jeierman56,Okay SMG’s are basically the shotguns shotguns are basically useless going against another shotgun and I really miss double pumping and this timer is no good and rpg should do more damage and have a wider explosion @EpicGames @FortniteGame,,Thu Aug 02 16:11:11 +0000 2018
ATEEKSTER,"Update: Other reports claim the explosion happened at a kitchen on the 3rd floor of the building. 
Makes more sense as a lift crashing wouldn’t seem to cause such extensive damage. https://t.co/YWTRmr2FXy",,Thu Aug 02 15:14:02 +0000 2018
ATEEKSTER,A loud explosion was heard in Exhibition Road (Hoora) at a building causing damage to windows and the lobby door. Two people were reportedly injured. Some sources claim it was due to a lift falling and crashing to the floor. https://t.co/iWjfCvBbe0,,Thu Aug 02 15:09:52 +0000 2018
Cyolism,"RT @RaftSurvivaGame: @VickyNaksh232 The plan is he will roam an area, and if you get too close, he will swim towards you - once close enoug…","@VickyNaksh232 The plan is he will roam an area, and if you get too close, he will swim towards you - once close enough, he will start to blow up, and explode! 😱 and leave a toxic cloud behind that will damage people who stay in the explosion area for too long!",Thu Aug 02 14:58:21 +0000 2018
RaftSurvivaGame,"@VickyNaksh232 The plan is he will roam an area, and if you get too close, he will swim towards you - once close enough, he will start to blow up, and explode! 😱 and leave a toxic cloud behind that will damage people who stay in the explosion area for too long!",,Thu Aug 02 14:43:50 +0000 2018
nmrqip,"""The explosion of hysteria encouraged by this abject, scandalous lack of leadership has alreday done real damage to our society"" https://t.co/9X5q69ANQv",,Thu Aug 02 14:26:01 +0000 2018
fortbuff,Interesting suggestion by /u/Kitteh6660 to change how Explosion Damage works. What do you think? https://t.co/VK3SdW2SBr,,Thu Aug 02 13:55:27 +0000 2018
simonvan3,RT @Rojavian: Video of #Idlib explosion shows the enormous damage. https://t.co/Lmh2eWMJE5,Video of #Idlib explosion shows the enormous damage. https://t.co/Lmh2eWMJE5,Thu Aug 02 13:48:23 +0000 2018
LutineBelle,"""The explosion of hysteria encouraged by this abject, scandalous lack of leadership has already done real damage to our society. If enough people believe that there will be food shortages, the fear will become self-fulfilling &amp; panic-buying will erupt..."" https://t.co/122GZdmBzs",,Thu Aug 02 13:31:01 +0000 2018
waelalhasnawi,"RT @Yalla_EN: Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massi…","Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massive damage. One of the first to respond was Sunni mechanic Laith, leading the clear up and repairing what vehicles he and his team could. https://t.co/SW7LPCQD9B",Thu Aug 02 12:53:19 +0000 2018
littleletters,"RT @Yalla_EN: Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massi…","Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massive damage. One of the first to respond was Sunni mechanic Laith, leading the clear up and repairing what vehicles he and his team could. https://t.co/SW7LPCQD9B",Thu Aug 02 12:38:26 +0000 2018
Yalla_EN,"Sadr City Explosion Response

An explosion at a weapon's cache in majority Shi'ite Sadr City, #Baghdad on June 6 caused massive damage. One of the first to respond was Sunni mechanic Laith, leading the clear up and repairing what vehicles he and his team could. https://t.co/SW7LPCQD9B",,Thu Aug 02 12:37:28 +0000 2018
warcoresponted,RT @Rojavian: Video of #Idlib explosion shows the enormous damage. https://t.co/Lmh2eWMJE5,Video of #Idlib explosion shows the enormous damage. https://t.co/Lmh2eWMJE5,Thu Aug 02 12:02:01 +0000 2018
