Superseanics415,"So right after the huge earthquake in Venezuela, government officials are claiming that the US has a secret earthquake machine and we gringos are behind the destruction.

Pray for the people of Venezuela... so, so sad",,Wed Aug 22 04:43:28 +0000 2018
SelGomezUS,Praying for Venezuela! So sad everything that is happening in there! Not just a incapable government and a humanitarian crisis but now an earthquake just hit them #PrayForVenezuela,,Tue Aug 21 23:31:00 +0000 2018
sweaterxpuppies,7.3 Earthquake in Trinidad. So sad to watch 😭😭😭💔💔💔,,Tue Aug 21 22:30:52 +0000 2018
Christeen_town,So sad to hear of horrid #earthquake in #Venezuela.   Tough as they are going through such horrid change anyway @BBCNewsnight,,Tue Aug 21 21:44:50 +0000 2018
kkmane,"Looking at the disaster in Kerala, it is sad to see so little from India.  One is reminded of Gujrath earthquake where so much pored in.  This is national calamity.",,Tue Aug 21 09:12:18 +0000 2018
EarthQuake_HK15,RT @Bflood_: @EarthQuake_HK15 IT MADE ME SO HAPPY AND SAD AT THE SAME TIME,@EarthQuake_HK15 IT MADE ME SO HAPPY AND SAD AT THE SAME TIME,Tue Aug 21 00:50:14 +0000 2018
Bflood_,@EarthQuake_HK15 IT MADE ME SO HAPPY AND SAD AT THE SAME TIME,,Tue Aug 21 00:30:55 +0000 2018
Oniichan123456,So Sad My lombok earthquake 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 https://t.co/lGC7uKIRmE,,Mon Aug 20 03:00:22 +0000 2018
veaxture,hearing my dad's and friends' stories about the earthquake make me feel so sad :(( I hope they'll be okay😭😭,,Sun Aug 19 22:50:27 +0000 2018
BasmaYousufKhan,"Some of my best friends are from #Indonesia, so sad to hear that there has been another earthquake in Lambok.💔 Praying for you all. ❤❤",,Sun Aug 19 20:12:32 +0000 2018
flickerrnirrors,so sad about the earthquake in Lombok ;(,,Sun Aug 19 17:21:28 +0000 2018
kkomaengnyel,"Really, before I experienced the earthquake it was small but it felt so strong, it felt so uneasy and scary...i hugged my mommy then remember all of my mistakes..afraid and blank+sad suddenly. Stay safe everyone, stay safe lombok😢❤️💙💜",,Sun Aug 19 15:32:26 +0000 2018
gianno79,Another earthquake hit Lombok. So sad to hear this. Please donate or share this. Even 1$ can make the difference. https://t.co/Vcutr0vwRd,,Sun Aug 19 14:26:17 +0000 2018
Triyogobagol,RT @SolManOfficial: So sorry to hear the sad news about everyone that has got effected by the earthquake in Indonesia! https://t.co/uUWmq74…,So sorry to hear the sad news about everyone that has got effected by the earthquake in Indonesia! https://t.co/uUWmq74nn1,Sun Aug 19 14:22:58 +0000 2018
JayPraj59883792,RT @UzmaRamiza: Earthquake again hits Lombok of Indonesia? This is so sad! I hope &amp; pray for the safety of everyone! Nature and her ways of…,"Earthquake again hits Lombok of Indonesia? This is so sad! I hope &amp; pray for the safety of everyone! Nature and her ways of attacking humanity is unpredictable! Only a few days ago, there was a similar quake that killed almost 400! 😐. Let us all #PrayForLombok today!",Sun Aug 19 08:18:26 +0000 2018
NormanShon1,"@Pachedu2018 is a Chibayamahure thorn cheZanu. Ths team is the earthquake mai chigumba prophetically asked for. Basing their analysis on Zec's own data, its so devastating tht Zec is even confirmng Pachedu analysis.
This election is out of Zanu's hands now, i promise. Sad! https://t.co/s9cqhm8HUU",,Sun Aug 19 08:04:12 +0000 2018
UzmaRamiza,"Earthquake again hits Lombok of Indonesia? This is so sad! I hope &amp; pray for the safety of everyone! Nature and her ways of attacking humanity is unpredictable! Only a few days ago, there was a similar quake that killed almost 400! 😐. Let us all #PrayForLombok today!",,Sun Aug 19 05:12:44 +0000 2018
Johnte_Uchiha,"@AshPokegirl @PokeMEN_YT It is no ones fault. That gym leader Flannery's Magmar.......it's movepool was so deep. ThunderPunch, Fire Blast, and Earthquake. Even I was not expecting that kind of FirePower.  
It's sad when good siblings have a family spat. https://t.co/CagSkvnVnF",,Sat Aug 18 19:26:08 +0000 2018
Quallescom,"We are so sad for lost their life in Earthquake
#17Ağustos1999 https://t.co/IFuSbNaXRW",,Fri Aug 17 09:04:48 +0000 2018
