PC_Angry,"@VagueDave @InspClarke It is however there will be times when there are units available - make best use of it while in effect, doesnt mean dont bother as we cant stop and search everyone we want to. Deterrance effect once word gets around too as they go to ground.",,Thu Aug 16 22:09:05 +0000 2018
MAGAnNoHate,RT @StratSentinel: What appeared to have been a stolen Q400 from @AlaskaAir has crashed near Seattle. Ground stop in effect at @SeaTacAirpo…,What appeared to have been a stolen Q400 from @AlaskaAir has crashed near Seattle. Ground stop in effect at @SeaTacAirport where the airplane took off without authorization. F-15s were scrambled and it now appears the plane has crashed. No confirmation whether it was shot down. https://t.co/TDyoLkkLO0,Tue Aug 14 14:59:15 +0000 2018
iSkizm,"RT @Everytown: Stand Your Ground has a disproportionate effect on communities of color in Florida, but that didn't stop the Florida legisla…","Stand Your Ground has a disproportionate effect on communities of color in Florida, but that didn't stop the Florida legislature and Gov. Rick Scott from expanding Stand Your Ground in 2017. 
https://t.co/5JfQx43hRa",Mon Aug 13 23:01:40 +0000 2018
garyleff,@jbhenchman @AmericanAir Ground stop no longer in place but departure management program appears in effect https://t.co/heKSfMA7cp,,Mon Aug 13 21:15:14 +0000 2018
BellaWho,RT @SteveSosnaNBC: Another day with MAJOR delays at PHL airport. Weather has been battering flight operations since Saturday. Check with yo…,Another day with MAJOR delays at PHL airport. Weather has been battering flight operations since Saturday. Check with your carrier before headed to airport! Ground stop in effect! Average delay is 2hr 15 mins and growing! @NBCPhiladelphia,Mon Aug 13 12:44:19 +0000 2018
NBCPhiladelphia,RT @SteveSosnaNBC: Another day with MAJOR delays at PHL airport. Weather has been battering flight operations since Saturday. Check with yo…,Another day with MAJOR delays at PHL airport. Weather has been battering flight operations since Saturday. Check with your carrier before headed to airport! Ground stop in effect! Average delay is 2hr 15 mins and growing! @NBCPhiladelphia,Mon Aug 13 12:41:30 +0000 2018
SteveSosnaNBC,Another day with MAJOR delays at PHL airport. Weather has been battering flight operations since Saturday. Check with your carrier before headed to airport! Ground stop in effect! Average delay is 2hr 15 mins and growing! @NBCPhiladelphia,,Mon Aug 13 12:41:04 +0000 2018
ps92264,"RT @TomPodolec: DIVERSIONS
Las Vegas McCarran Int’l Airport has a ground stop in effect due to thunderstorms. Many flights diverting includ…","DIVERSIONS
Las Vegas McCarran Int’l Airport has a ground stop in effect due to thunderstorms. Many flights diverting including several Air Canada Rouge and Westjet flights. 
#AC1857 #AC1853 #AC1860 #WS1118 #WS1400 https://t.co/J8LkiRwKCD",Sun Aug 12 23:57:01 +0000 2018
jbhammer,"FAA confirms:

“Due to WEATHER / THUNDERSTORMS, there is a Traffic Management (Ground Stop) Program in effect for traffic arriving LGA.”

FWIW, most of the major east coast airports are also experiencing weather delays.",,Sun Aug 12 23:51:48 +0000 2018
drzoegrey,RT @StratSentinel: What appeared to have been a stolen Q400 from @AlaskaAir has crashed near Seattle. Ground stop in effect at @SeaTacAirpo…,What appeared to have been a stolen Q400 from @AlaskaAir has crashed near Seattle. Ground stop in effect at @SeaTacAirport where the airplane took off without authorization. F-15s were scrambled and it now appears the plane has crashed. No confirmation whether it was shot down. https://t.co/TDyoLkkLO0,Sun Aug 12 22:02:09 +0000 2018
