PatriotFNP,"RT @JonFerreci1: ISIS 'soldier' overtakes Super U supermarket in Trebes, France killing 3. https://t.co/yRZ4CGayAk https://t.co/q7MoxI2Vno","ISIS 'soldier' overtakes Super U supermarket in Trebes, France killing 3. https://t.co/yRZ4CGayAk https://t.co/q7MoxI2Vno",Sun Aug 19 11:58:19 +0000 2018
KeithGunter0,"RT @JonFerreci1: ISIS 'soldier' overtakes Super U supermarket in Trebes, France killing 3. https://t.co/yRZ4CGayAk https://t.co/q7MoxI2Vno","ISIS 'soldier' overtakes Super U supermarket in Trebes, France killing 3. https://t.co/yRZ4CGayAk https://t.co/q7MoxI2Vno",Sun Aug 19 00:36:03 +0000 2018
yoly4Trump,"RT @JonFerreci1: ISIS 'soldier' overtakes Super U supermarket in Trebes, France killing 3. https://t.co/yRZ4CGayAk https://t.co/q7MoxI2Vno","ISIS 'soldier' overtakes Super U supermarket in Trebes, France killing 3. https://t.co/yRZ4CGayAk https://t.co/q7MoxI2Vno",Sun Aug 19 00:22:08 +0000 2018
RonaldLJLopez2,"@Blue_Sunflowers Mine is not to ""dis-prove,"" prove theory of global warming, is the followers responsibility.
Scientists and political bodies made claims, later a LOT scientific data and research came into question - therefore invalidation of the THEORY.  
Hypothesis, theory, proof.  GW was dead",,Fri Aug 17 23:51:21 +0000 2018
getupradio,"Islamic State claims responsibility for suicide blast that struck Shiite area in Kabul, left 34 students dead - Firstpost https://t.co/IAjm2CrlA4",,Fri Aug 17 00:10:20 +0000 2018
W2IProject,#ISIS claimed responsibility for a suicide bombing in #Kabul that left at least 34 people dead. https://t.co/vJfB2VgWHY,,Thu Aug 16 20:40:02 +0000 2018
izzysroses,"RT @starsandstripes: As Afghanistan's Shiites mourned their dead and held funeral services Thursday, ISIS claimed responsibility for the ho…","As Afghanistan's Shiites mourned their dead and held funeral services Thursday, ISIS claimed responsibility for the horrific suicide bombing in Kabul that targeted a Shiite neighborhood the previous day, killing 34 students. https://t.co/Yk2mgL6WHJ",Thu Aug 16 15:30:35 +0000 2018
starsandstripes,"As Afghanistan's Shiites mourned their dead and held funeral services Thursday, ISIS claimed responsibility for the horrific suicide bombing in Kabul that targeted a Shiite neighborhood the previous day, killing 34 students. https://t.co/Yk2mgL6WHJ",,Thu Aug 16 15:22:18 +0000 2018
bigstibber,"@StefanMolyneux @DineshDSouza They'll be just fine. As liberals, they'll just identify a living people and poof, all is restored. You can't be dead if you don't identify as dead. To all those who say it wasn't ISIS related:
https://t.co/SwDAWpiAyl",,Thu Aug 16 14:07:47 +0000 2018
ghparrotonline,"Islamic State claims responsibility for suicide blast that struck Shiite area in Kabul, left 34 students dead https://t.co/Gp0lg9TzcK https://t.co/XtlN3bkEhH",,Thu Aug 16 14:04:54 +0000 2018
larichards21,"RT @JonFerreci1: ISIS 'soldier' overtakes Super U supermarket in Trebes, France killing 3. https://t.co/yRZ4CGayAk https://t.co/q7MoxI2Vno","ISIS 'soldier' overtakes Super U supermarket in Trebes, France killing 3. https://t.co/yRZ4CGayAk https://t.co/q7MoxI2Vno",Tue Aug 14 20:05:09 +0000 2018
BanadiBalooch,RT @BalaachMarri: Attack on Pakistani forces in Awaran leaves 7 dead and dozens injured. BLF claims responsibility. #14AugustBlackDay #Balo…,Attack on Pakistani forces in Awaran leaves 7 dead and dozens injured. BLF claims responsibility. #14AugustBlackDay #Balochistan,Tue Aug 14 13:11:23 +0000 2018
