USER_WAS_BANT,@BootlegHentai Pride is gay and no one should have pride in their heritage I'll say it. I just can't be too upset that some kids were racist to her when she was young everyone has shitty experiences and hers seem to be fairly small and contained,,Sat Aug 18 21:48:54 +0000 2018
mary52lr,"RT @mfbarnes52: @KrisParonto @SenJohnMcCain Funny how lodged in the right nacelle, of a US Chinook they found shrapnel that contained an en…","@KrisParonto @SenJohnMcCain Funny how lodged in the right nacelle, of a US Chinook they found shrapnel that contained an entire serial number. The Stinger tracked back to a lot that had been signed out by the CIA that was earmarked for Qatar to defend against the Taliban ends up in Kunar with the Taliban",Sat Aug 18 21:48:39 +0000 2018
robinesca,"RT @Colmogorman: All the evidence of this abuse which spanned 70 years, up to 2002, was contained in Church archives. The Vatican knew. Thi…","All the evidence of this abuse which spanned 70 years, up to 2002, was contained in Church archives. The Vatican knew. This was no surprise to @Pontifex And all the time #popeinireland was being planned &amp; Wuerl was being invited to play a big role, they knew #Stand4Truth",Sat Aug 18 21:48:36 +0000 2018
richtroman,"Please note that due to @RorySmith 's neurosis regarding emojis, my above tweet, which normally would have had a scattering of them, contained none whatsoever.",,Sat Aug 18 21:48:25 +0000 2018
Aleon_08,"RT @MercedesAMG: The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w","The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w",Sat Aug 18 21:47:35 +0000 2018
CphilpottCraig,"RT @terreal: 3-wk old, 76% contained #RanchFire is still going strong. Resources assigned include 3,470 personnel, 200 engines, 89 water te…","3-wk old, 76% contained #RanchFire is still going strong. Resources assigned include 3,470 personnel, 200 engines, 89 water tenders, 21 helicopters, 70 hand crews and 62 dozers. https://t.co/WfCs3ew175",Sat Aug 18 21:47:26 +0000 2018
OBXRealty,RT @LaylaAlisha11: Newly Leaked Emails May Give DOJ Enough Evidence To Open NEW Investigation Into Hillary! Judicial Watch located 5 emails…,"Newly Leaked Emails May Give DOJ Enough Evidence To Open NEW Investigation Into Hillary! Judicial Watch located 5 emails that contained Classified info on her private, non secure server! Clinton tried to hide/destroy these Classified Confidential emails! 
https://t.co/8RBDxgLZ8M",Sat Aug 18 21:47:24 +0000 2018
DianavB15,"RT @GoatScribe: There exists a need in me
Hidden to such empty eyes
Who fail to see the beauty
In darkest of forms
For this luscious desire…","There exists a need in me
Hidden to such empty eyes
Who fail to see the beauty
In darkest of forms
For this luscious desire
Exists beyond restraints
Of proper etiquette and civility 
It becomes the necessary drive 
Of a passion that can never be contained
#DarkPsychPoetry
📸 ?? https://t.co/7oNyUIpqqG",Sat Aug 18 21:46:31 +0000 2018
usperegrino,RT @chelseahandler: Fox News honored Aretha Franklin by using a graphic that contained a photo of Patti LaBelle. It’s probably hard for any…,Fox News honored Aretha Franklin by using a graphic that contained a photo of Patti LaBelle. It’s probably hard for anyone who works at Fox News to tell black people apart because they’ve never worked with any.,Sat Aug 18 21:45:45 +0000 2018
Acts_11,@PstPhilipMutua @AmericaNFatima Mary is the Queen Mother in Heaven - read Revelation 12...Simevtimes I wonder how you people pretend to know scripture but miss very important information contained in it. Then you guys preach with authority but really have no clue what you are saying. Misleading people is a sin,,Sat Aug 18 21:45:19 +0000 2018
adriennejax,"@ContainerStore The truth can not be contained, Container Store!!",,Sat Aug 18 21:45:15 +0000 2018
toriKh,"RT @mrbenjaminlaw: ""Exasperated as white people may be to hear about race, again, your frustration pales next to those forced to live it an…","""Exasperated as white people may be to hear about race, again, your frustration pales next to those forced to live it and fight it.""

—@rubyhamad, nailing how Fraser Anning isn't a self-contained aberration, but a reflection and product of Australian life.
https://t.co/DZkOFZ942H",Sat Aug 18 21:45:08 +0000 2018
NHFirebuff18,RT @VCFD_PIO: Fire is contained to a four unit garage. Firefighters were able to make access and knocked the fire down. #VCFD,Fire is contained to a four unit garage. Firefighters were able to make access and knocked the fire down. #VCFD,Sat Aug 18 21:44:51 +0000 2018
furniture_web,RT @chelseahandler: Fox News honored Aretha Franklin by using a graphic that contained a photo of Patti LaBelle. It’s probably hard for any…,Fox News honored Aretha Franklin by using a graphic that contained a photo of Patti LaBelle. It’s probably hard for anyone who works at Fox News to tell black people apart because they’ve never worked with any.,Sat Aug 18 21:44:50 +0000 2018
Cindylucinda2,"RT @Pathryn34: Swallowing 

Discomfort 

Contained rage https://t.co/6dXa8DVJ3Y","Swallowing 

Discomfort 

Contained rage https://t.co/6dXa8DVJ3Y",Sat Aug 18 21:44:47 +0000 2018
2AFan,"RT @silentrunning12: Hmmm... That's awkward...

DC judge compells FBI to respond to FOIA request to provide any &amp; all documents related to…","Hmmm... That's awkward...

DC judge compells FBI to respond to FOIA request to provide any &amp; all documents related to QA/QC or confirmation of ""facts"" contained in the Steele dossier

Or simply admit they ran with ZERO Confirmation

Welcome to the Storm😎

https://t.co/li7TpxSrEH",Sat Aug 18 21:44:28 +0000 2018
Pathryn34,"Swallowing 

Discomfort 

Contained rage https://t.co/6dXa8DVJ3Y",,Sat Aug 18 21:44:21 +0000 2018
OrlandoDesigner,RT @chelseahandler: Fox News honored Aretha Franklin by using a graphic that contained a photo of Patti LaBelle. It’s probably hard for any…,Fox News honored Aretha Franklin by using a graphic that contained a photo of Patti LaBelle. It’s probably hard for anyone who works at Fox News to tell black people apart because they’ve never worked with any.,Sat Aug 18 21:44:14 +0000 2018
Abdorn09,"RT @MercedesAMG: The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w","The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w",Sat Aug 18 21:44:14 +0000 2018
MylieKarsh,RT @chelseahandler: Fox News honored Aretha Franklin by using a graphic that contained a photo of Patti LaBelle. It’s probably hard for any…,Fox News honored Aretha Franklin by using a graphic that contained a photo of Patti LaBelle. It’s probably hard for anyone who works at Fox News to tell black people apart because they’ve never worked with any.,Sat Aug 18 21:43:55 +0000 2018
iWideOpen,RT @themarketswork: 12) Here are Ohr’s form 302 dates along with actual interview dates from footnotes contained in Grassley’s letter: http…,12) Here are Ohr’s form 302 dates along with actual interview dates from footnotes contained in Grassley’s letter: https://t.co/gl0nPEZQTo,Sat Aug 18 21:43:52 +0000 2018
Dayyaan_Edries,"RT @PACBI: Anti-Palestinian censorship in Germany: music festival director told Anglo-German composer he ""would not tolerate any criticism…","Anti-Palestinian censorship in Germany: music festival director told Anglo-German composer he ""would not tolerate any criticism of Israel at the festival and would prevent the appearance of any piece on the program that contained such criticism."" #BDS https://t.co/GEBPsfqtaI",Sat Aug 18 21:43:47 +0000 2018
Hectorjr01,"RT @MercedesAMG: The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w","The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w",Sat Aug 18 21:43:28 +0000 2018
dj_lucky810,RT @LaylaAlisha11: Newly Leaked Emails May Give DOJ Enough Evidence To Open NEW Investigation Into Hillary! Judicial Watch located 5 emails…,"Newly Leaked Emails May Give DOJ Enough Evidence To Open NEW Investigation Into Hillary! Judicial Watch located 5 emails that contained Classified info on her private, non secure server! Clinton tried to hide/destroy these Classified Confidential emails! 
https://t.co/8RBDxgLZ8M",Sat Aug 18 21:43:10 +0000 2018
Scooter101962,"@FoxNews @newtgingrich A little Austrian corporal went all about Germany, campaigning for the presidency. Through his political career, his speeches contained the phrase “for das wohl”. That means “for the greater good”! His name? Adolf Hitler! Losing the election, he was made chancellor. For das wohl!",,Sat Aug 18 21:42:59 +0000 2018
MaxxiRoz,"RT @MercedesAMG: The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w","The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w",Sat Aug 18 21:42:46 +0000 2018
turksonandre,"RT @MercedesAMG: The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w","The Mercedes-Benz SLS AMG can't be contained. It's always ready to take flight!
📷: @bildermeister https://t.co/QeDmNjCZ1w",Sat Aug 18 21:42:07 +0000 2018
MeanAsWolverin1,RT @Couchspud44: @ToniWilliams10 @Bernard56350033 @MeanAsWolverin1 @jackbgoode1 @cableguy1521 @ScrewedHumans @CallMeCatHead @heidi_weigand…,@ToniWilliams10 @Bernard56350033 @MeanAsWolverin1 @jackbgoode1 @cableguy1521 @ScrewedHumans @CallMeCatHead @heidi_weigand @Vorzon @amd0324 @AnitaK316 @TheReady1775 @RonWinter @bethanneprays @zack_nola @BillovRights @pcal4HIM @WeTheBase @Snakeman118 One look at the Constitution &amp; other writings of our Founding Fathers explaining their reasoning behind the Constitution &amp; you see just how brilliant they really were! Our Constitution &amp; The Bill of Rights contained in it are probably one of the greatest documents ever written!,Sat Aug 18 21:41:49 +0000 2018
